smiles_pair,index
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1cc(F)c(F)c(F)c1)C(=O)O',74
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CCC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',75
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](C/C=C/c1ccccc1)C(=O)O',76
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](CC1CCOCC1)C(=O)O',77
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2cc(F)ccc12)C(=O)O',78
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC[C@@H](C)[C@@H](NC(=O)OC(C)(C)C)C(=O)O',79
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@H](C(=O)O)C1CCC1',80
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O',81
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(=O)N[C@H](C(=O)O)C(C)(C)C',82
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(=O)N[C@H](C(=O)O)C(C)C',83
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,Cc1cc(O)cc(C)c1C[C@H](NC(=O)OC(C)(C)C)C(=O)O',84
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O',85
