smiles_pair,index
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OC(=O)OC(C)(C)C)cc1)C(=O)O',19
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O',20
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,COc1ccc(C[C@H](NC(=O)OC(C)(C)C)C(=O)O)cc1',21
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](CC1CCCC1)C(=O)O',22
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,C[C@@H](OC(C)(C)C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',23
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CO[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',24
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CCCC[C@H](NC(=O)OC(C)(C)C)C(=O)O',25
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@H](C(=O)O)c1ccccc1',26
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1c2ccccc2cc2ccccc12)C(=O)O',27
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O',28
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@H](C(=O)O)C(C)(C)C',29
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CCC[C@H](NC(=O)OC(C)(C)C)C(=O)O',30
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(=O)N[C@@H](Cc1ccccc1)C(=O)O',31
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)N[C@@H](Cc1ccccc1)C(=O)O',32
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O',33
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@H](C(=O)O)C1CC1',34
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21',35
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@H](C(=O)O)C(c1ccccc1)c1ccccc1',36
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,O=C(N[C@@H](Cc1ccccc1)C(=O)O)c1ccccc1',37
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O',38
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](CCc1ccc(F)cc1)C(=O)O',39
